Date,Launch Time (UTC),Missile Name,Missile Type,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome
9-Apr-84,unknown,Scud-B,SRBM,don’t care,40.8499966,129.666664,don’t care,Unknown,Unknown,Confirmed
9-Apr-84,unknown,Scud-B,SRBM,don’t care,40.8499966,129.666664,don’t care,Unknown,Unknown,Confirmed
9-Apr-84,unknown,Scud-B,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
Sep-84,unknown,Scud-B,SRBM,don’t care,40.8499966,129.666664,don’t care,Unknown,Unknown,Confirmed
Sep-84,unknown,Scud-B,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
Sep-84,unknown,Scud-B,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
May-86,unknown,Unknown,Unknown,don’t care,40.8499966,129.666664,don’t care,Unknown,Unknown,Unconfirmed
May-90,unknown,Nodong,MRBM,don’t care,40.8499966,129.666664,don’t care,150 km,Unknown,Unconfirmed
Jun-90,unknown,Scud-C,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
Jun-92,unknown,Nodong,MRBM,don’t care,40.8499966,129.666664,don’t care,0 km,Unknown,Unconfirmed
29-May-93,unknown,Nodong,MRBM,don’t care,40.8499966,129.666664,don’t care,150 km,500 km,Confirmed
29-May-93,unknown,Scud-C,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
29-May-93,unknown,Scud-C,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
30-May-93,unknown,Scud-C,SRBM,don’t care,40.8499966,129.666664,don’t care,200 km,Unknown,Confirmed
31-Aug-98,unknown,Taepodong-1,SLV,don’t care,40.8499966,129.666664,don’t care,Unknown,"1,380 km"
5-Jul-06,unknown,Unha,SLV,don’t care,40.8499966,129.666664,don’t care,40 km,Unknown,Confirmed
5-Jul-06,unknown,Nodong,MRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,150 km,Unknown
5-Jul-06,unknown,Nodong,MRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,150 km,Unknown
5-Jul-06,unknown,Nodong,MRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,150 km,Unknown
5-Apr-09,unknown,Unha,SLV,don’t care,40.8499966,129.666664,don’t care,Unknown,,Confirmed
5-Jul-09,unknown,Nodong,MRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,150 km,Unknown
5-Jul-09,unknown,Scud-C,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,
5-Jul-09,unknown,Scud-C,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,
5-Jul-09,unknown,Scud-C,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,
5-Jul-09,unknown,Scud-C,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,
5-Jul-09,unknown,Scud-C,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,
13-Apr-12,unknown,Unha-3,SLV,don’t care,39.6596,124.7057,don’t care,Unknown,Unknown,Confirmed
12-Dec-12,unknown,Unha-3,SLV,don’t care,39.6596,124.7057,don’t care,581 km,N/A,Confirmed
18-May-13,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Unconfirmed
18-May-13,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Unconfirmed
18-May-13,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Unconfirmed
19-May-13,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Unconfirmed
20-May-13,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Unconfirmed
20-May-13,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Unconfirmed
27-Feb-14,unknown,Scud-B,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,80 km,200 km
27-Feb-14,unknown,Scud-B,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,Unknown,200 km
27-Feb-14,unknown,Scud-B,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,Unknown,200 km
27-Feb-14,unknown,Scud-B,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,Unknown,200 km
3-Mar-14,unknown,Scud-C,SRBM,don’t care,39.1677,127.4817,don’t care,150 km,500 km,Confirmed
